formula,space group,piezoelectric modulus (C/m^2),density (g/cm^3),band gap (eV)
MgNb2(PbO3)3-mp-673624,P1,90.1414,7.7522,2.1515
Pr3NF6-mp-33319,P1,86.0942,6.0444,3.3524
CdGeO3-mp-685935,Cmc2_1,75.0186,4.9956,1.7245
Ba(Si3N4)2-mp-567771,Imm2,67.6741,3.7821,3.2736
Na4CO4-mp-552941,R3,50.4533,2.4257,2.1739
Li3V(FeO3)2-mp-761106,Cmc2_1,48.6405,3.8779,1.1786
MnCO3-mp-690525,Cc,39.8286,3.4062,3.3545
Li4CO4-mp-550593,R3m,33.348,2.3563,4.0077
Sm2CdSe4-mp-38125,I-42d,32.5043,6.8601,1.4031
Li3FeOF4-mp-754295,Cm,24.9763,2.9801,2.388
AgBiS2-mp-675977,Cc,24.8446,6.9325,0.6393
NaN3-mp-634410,C2,21.8166,2.1457,4.5731
ScBiO3-mp-555313,Cc,19.0505,7.1011,2.839
BaNiO3-mp-19241,P6_3mc,17.826,5.9286,1.5467
BaNa4O3-mp-756090,Cc,16.7755,2.9665,1.3924
Li2NiSnO4-mp-773418,I-4m2,16.5466,5.3151,1.5142
SrTaNO2-mp-755488,P2_1,16.184,7.7396,0.8843
TiNbTl(O2F)2-mp-677378,Cc,15.2377,5.0589,2.5927
Pb7(BrF6)2-mp-29927,P-6,14.4419,7.8739,4.0634
KBi2F7-mp-675634,P1,14.017,5.9239,4.7189
LiNb(TeO4)3-mp-754519,P1,13.8071,5.4248,1.5462
WO3-mp-32662,P6_3cm,11.8742,6.1076,1.5029
NaNb(CuS2)2-mp-6181,Ama2,11.8542,3.1024,1.7915
LiVP2O7-mp-26251,C2,11.5427,3.1755,1.8808
RbTaO3-mp-755018,R3m,11.3714,7.6223,2.5625
TaTlWO6-mp-1217830,Ima2,11.039,7.6196,3.1898
MoWO6-mvc-5693,Cm,10.9178,5.3425,1.4339
NaBiS2-mp-675531,Fdd2,10.6785,5.0128,1.4261
SrTaNO2-mp-780737,P1,10.5542,7.7515,0.734
Na2O-mp-776952,P3,10.1721,2.5058,1.5065
LiFeCO4-mp-757939,Ccc2,10.0796,2.5481,1.962
LiSnPO4-mp-755392,Pna2_1,9.7609,3.3536,3.8694
CaTaNO2-mp-556340,Pmc2_1,9.5649,7.0569,1.6122
TlNO2-mp-676400,P1,8.9942,5.5149,1.6843
H8PtO6-mp-625112,P1,8.7533,4.3478,1.5863
SrHfO3-mp-13108,P4mm,8.7359,7.3454,3.7906
Si3Ru2-mp-20191,P-4c2,8.6244,6.77,0.3761
SbF4-mvc-15178,P1,8.4883,4.6604,2.5516
TiF4-mvc-13239,P1,8.3446,2.8669,4.3462
Si3Os2-mp-16609,P-4c2,8.1664,10.8075,0.7244
NbSbO4-mp-3491,Pna2_1,8.0885,5.3734,2.4528
LiBiB2O5-mp-755256,C2,7.7368,5.2672,3.3122
Cu2S-mp-618991,P4_32_12,7.6901,5.8986,0.5023
W(BrO)2-mp-774146,Pmc2_1,7.4431,4.7402,0.9203
LaWN3-mp-989524,R3c,7.2675,9.212,1.2941
Sb2WO6-mp-28918,P2_1,7.0678,6.5448,1.1942
Ge5Ir4-mp-541844,P-4c2,7.0585,12.5016,0.412
BaNb2Bi2O9-mp-555867,Cmc2_1,6.8111,7.0008,2.3082
Li4VFe(TeO6)2-mp-761819,P1,6.8082,4.7002,1.2894
Na2FeNiF7-mp-561395,Imm2,6.6498,3.383,2.6266
Li4WO5-mp-690542,I4,6.6272,5.1955,3.0426
Li2Nb4ZnO12-mp-756793,P1,6.6197,4.7344,2.8733
SrTaNO2-mp-780671,C2,6.6071,7.7628,0.7384
Li4CO4-mp-546202,P-43m,6.5396,2.4292,4.1878
V4O3F5-mp-754530,Imm2,6.4273,4.001,0.5908
Li3Cu3(PO4)2-mp-761098,P1,6.324,3.8273,1.0124
NaTi2BiO6-mp-39681,R3,6.2085,5.7924,2.751
MgH12SO9-mp-697114,P1,6.2081,1.8712,3.836
Ti3(BiO3)4-mp-23427,Aea2,6.0806,7.6894,2.4396
KNbO3-mp-7375,R3m,6.0163,4.3687,2.3605
Na3W2N5-mp-1029565,I4_1,5.9345,5.1719,2.3221
KY3F10-mp-34042,R3m,5.9061,3.5622,6.2847
Ca3Ti2O7-mp-4163,Cmc2_1,5.8813,3.6975,2.5472
TiTlWO5F-mp-690560,Ima2,5.8593,6.2928,2.8106
BrCl-mp-864928,P6_3mc,5.8515,2.4017,1.3584
LiVTe(WO6)2-mp-753012,P1,5.8467,6.0181,1.6939
VO2F-mp-756042,P2_12_12_1,5.8376,3.1038,1.9752
W(OF)2-mp-759764,Pmc2_1,5.8282,4.2489,1.7426
Li4MnV2WO12-mp-755727,P1,5.8173,4.6811,1.1448
NaNbO3-mp-4514,R3c,5.785,4.3233,2.7872
SrTaNO2-mp-1101327,Pmc2_1,5.7789,7.6855,1.2223
W(ClO)2-mp-32539,Pmc2_1,5.761,3.8234,1.8124
K3CrO4-mp-19414,I-42m,5.7546,2.412,1.3133
Li4MnCr(WO6)2-mp-752745,P1,5.7323,5.7426,0.6416
Bi2WO6-mp-23329,Aea2,5.698,8.877,1.9543
InN-mp-22205,P6_3mc,5.5512,6.6419,0.4777
Li3MnPCO7-mp-756651,P2_1,5.4295,2.7869,4.1085
TmBiO3-mp-754323,R3c,5.4286,9.1009,3.2028
Te2MoWSeS-mp-1029015,P3m1,5.424,5.5355,0.3372
MgTa2O6-mvc-1623,Pmn2_1,5.3879,7.303,3.0939
Na6CoO4-mp-774357,I-43m,5.3865,2.7764,1.0507
NbO2F-mp-752467,Cc,5.3369,3.9854,2.2316
Li2NiP2O7-mp-779070,P2_1,5.3182,2.945,4.3029
LiNbO3-mp-3731,R3c,5.1594,4.4129,3.3768
AlBiO3-mp-551918,R3c,5.0649,8.296,3.0207
